,title,href,views_mn,group,subgroup,rank
35,Kargil War,/wiki/Kargil_War,13,Civilization,Wars,21
38,Indian Rebellion of 1857,/wiki/Indian_Rebellion_of_1857,12,Civilization,Wars,24
39,Iran–Iraq War,/wiki/Iran%E2%80%93Iraq_War,12,Civilization,Wars,24
41,Boxer Rebellion,/wiki/Boxer_Rebellion,11,Civilization,Wars,26
42,Winter War,/wiki/Winter_War,11,Civilization,Wars,26
43,Second Boer War,/wiki/Second_Boer_War,10,Civilization,Wars,28
44,Kosovo War,/wiki/Kosovo_War,10,Civilization,Wars,28
47,Soviet-Afghan War,/wiki/Soviet-Afghan_War,9.5,Civilization,Wars,30
48,Hundred Years' War,/wiki/Hundred_Years%27_War,9.5,Civilization,Wars,30
0,Soviet Union,/wiki/Soviet_Union,63,Civilization,Empires and hegemonies,1
1,Ottoman Empire‎ ,/wiki/Ottoman_Empire,49,Civilization,Empires and hegemonies,2
2,Roman Empire‎,/wiki/Roman_Empire,43,Civilization,Empires and hegemonies,3
3,Nazi Germany,/wiki/Nazi_Germany,41,Civilization,Empires and hegemonies,4
4,British Empire,/wiki/British_Empire,32,Civilization,Empires and hegemonies,5
5,Byzantine Empire,/wiki/Byzantine_Empire,28,Civilization,Empires and hegemonies,6
6,Ancient Egypt,/wiki/Ancient_Egypt,25,Civilization,Empires and hegemonies,7
7,Mughal Empire,/wiki/Mughal_Empire,24,Civilization,Empires and hegemonies,8
8,Sparta,/wiki/Sparta,23,Civilization,Empires and hegemonies,8
9,Russian Empire,/wiki/Russian_Empire,18,Civilization,Empires and hegemonies,10
10,German Empire,/wiki/German_Empire,17,Civilization,Empires and hegemonies,10
11,Qing dynasty,/wiki/Qing_dynasty,16,Civilization,Empires and hegemonies,12
12,Holy Roman Empire‎[a],/wiki/Holy_Roman_Empire,15,Civilization,Empires and hegemonies,13
13,Austria-Hungary,/wiki/Austria-Hungary,15,Civilization,Empires and hegemonies,13
14,Inca Empire,/wiki/Inca_Empire,13,Civilization,Empires and hegemonies,15
15,Empire of Japan,/wiki/Empire_of_Japan,13,Civilization,Empires and hegemonies,15
16,Ming dynasty,/wiki/Ming_dynasty,11,Civilization,Empires and hegemonies,17
17,Mongol Empire,/wiki/Mongol_Empire,11,Civilization,Empires and hegemonies,18
18,Han dynasty,/wiki/Han_dynasty,9.4,Civilization,Empires and hegemonies,19
19,Maurya Empire‎,/wiki/Maurya_Empire,9.2,Civilization,Empires and hegemonies,20
20,Spanish Empire,/wiki/Spanish_Empire,9.0,Civilization,Empires and hegemonies,21
21,Tang dynasty,/wiki/Tang_dynasty,8.8,Civilization,Empires and hegemonies,22
22,Sumer,/wiki/Sumer,8.6,Civilization,Empires and hegemonies,23
23,History of Japan,/wiki/History_of_Japan,8.6,Civilization,Empires and hegemonies,23
24,Achaemenid Empire,/wiki/Achaemenid_Empire,8.4,Civilization,Empires and hegemonies,25
25,Gupta Empire,/wiki/Gupta_Empire,7.4,Civilization,Empires and hegemonies,26
26,Delhi Sultanate,/wiki/Delhi_Sultanate,7.4,Civilization,Empires and hegemonies,26
27,Umayyad Caliphate[a],/wiki/Umayyad_Caliphate,6.7,Civilization,Empires and hegemonies,28
28,Assyria‎ ,/wiki/Assyria,6.4,Civilization,Empires and hegemonies,29
29,Abbasid Caliphate,/wiki/Abbasid_Caliphate,6.1,Civilization,Empires and hegemonies,30
0,United States,/wiki/United_States,254,Civilization,Present countries,1
1,India,/wiki/India,165,Civilization,Present countries,2
2,United Kingdom,/wiki/United_Kingdom,144,Civilization,Present countries,3
3,Canada,/wiki/Canada,113,Civilization,Present countries,4
4,Australia,/wiki/Australia,107,Civilization,Present countries,5
5,China,/wiki/China,100,Civilization,Present countries,6
6,Russia,/wiki/Russia,98,Civilization,Present countries,7
7,Japan,/wiki/Japan,96,Civilization,Present countries,8
8,Germany,/wiki/Germany,94,Civilization,Present countries,9
9,France,/wiki/France,85,Civilization,Present countries,10
10,Singapore,/wiki/Singapore,80,Civilization,Present countries,11
11,Israel,/wiki/Israel,78,Civilization,Present countries,12
12,Pakistan,/wiki/Pakistan,68,Civilization,Present countries,13
13,Philippines,/wiki/Philippines,68,Civilization,Present countries,13
14,Brazil,/wiki/Brazil,67,Civilization,Present countries,15
15,Italy,/wiki/Italy,66,Civilization,Present countries,16
16,Netherlands[a],/wiki/Netherlands,66,Civilization,Present countries,16
17,New Zealand[a],/wiki/New_Zealand,66,Civilization,Present countries,16
18,Ukraine,/wiki/Ukraine,64,Civilization,Present countries,19
19,Spain,/wiki/Spain,64,Civilization,Present countries,19
20,Turkey,/wiki/Turkey,64,Civilization,Present countries,19
21,South Africa,/wiki/South_Africa,62,Civilization,Present countries,22
22,Mexico,/wiki/Mexico,61,Civilization,Present countries,23
23,Indonesia,/wiki/Indonesia,60,Civilization,Present countries,24
24,Switzerland,/wiki/Switzerland,58,Civilization,Present countries,25
25,North Korea,/wiki/North_Korea,56,Civilization,Present countries,26
26,Sweden,/wiki/Sweden,55,Civilization,Present countries,27
27,Iran,/wiki/Iran,54,Civilization,Present countries,28
28,United Arab Emirates,/wiki/United_Arab_Emirates,52,Civilization,Present countries,29
29,Egypt,/wiki/Egypt,51,Civilization,Present countries,30
30,Poland,/wiki/Poland,51,Civilization,Present countries,31
31,158 countries,,50–6.6,Civilization,Present countries,32-189
32,Federated States of Micronesia,/wiki/Federated_States_of_Micronesia,6.5,Civilization,Present countries,190
33,Saint Vincent and the Grenadines,/wiki/Saint_Vincent_and_the_Grenadines,6.3,Civilization,Present countries,191
34,Eswatini,/wiki/Eswatini,6.1,Civilization,Present countries,192
35,São Tomé and Príncipe,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,5.9,Civilization,Present countries,193
36,Republic of the Congo,/wiki/Republic_of_the_Congo,4.9,Civilization,Present countries,194
0,New York City,/wiki/New_York_City,96,Civilization,Cities,1
1,Singapore,/wiki/Singapore,80,Civilization,Cities,2
2,London,/wiki/London,76,Civilization,Cities,3
3,Hong Kong,/wiki/Hong_Kong,62,Civilization,Cities,4
4,Los Angeles,/wiki/Los_Angeles,53,Civilization,Cities,5
5,Dubai,/wiki/Dubai,51,Civilization,Cities,6
6,"Washington, D.C.","/wiki/Washington,_D.C.",47,Civilization,Cities,7
7,Paris,/wiki/Paris,44,Civilization,Cities,8
8,Chicago,/wiki/Chicago,44,Civilization,Cities,8
10,Mumbai,/wiki/Mumbai,38,Civilization,Cities,10
11,San Francisco,/wiki/San_Francisco,37,Civilization,Cities,11
12,Rome,/wiki/Rome,33,Civilization,Cities,12
13,Monaco,/wiki/Monaco,33,Civilization,Cities,12
14,Toronto,/wiki/Toronto,33,Civilization,Cities,12
15,Tokyo,/wiki/Tokyo,32,Civilization,Cities,15
16,Philadelphia,/wiki/Philadelphia,31,Civilization,Cities,16
17,Machu Picchu,/wiki/Machu_Picchu,30,Civilization,Cities,17
18,Jerusalem,/wiki/Jerusalem,28,Civilization,Cities,18
19,Amsterdam,/wiki/Amsterdam,28,Civilization,Cities,18
20,Boston,/wiki/Boston,28,Civilization,Cities,18
21,Barcelona,/wiki/Barcelona,27,Civilization,Cities,21
22,Seattle,/wiki/Seattle,27,Civilization,Cities,21
23,Istanbul,/wiki/Istanbul,27,Civilization,Cities,21
24,Berlin,/wiki/Berlin,27,Civilization,Cities,21
25,Vatican,/wiki/Vatican_City,26,Civilization,Cities,25
26,Vancouver,/wiki/Vancouver,26,Civilization,Cities,25
27,Shanghai,/wiki/Shanghai,25,Civilization,Cities,27
28,Pompeii,/wiki/Pompeii,25,Civilization,Cities,27
29,Venice,/wiki/Venice,24,Civilization,Cities,29
30,Atlanta,/wiki/Atlanta,24,Civilization,Cities,29
31,Montreal,/wiki/Montreal,24,Civilization,Cities,29
32,Moscow,/wiki/Moscow,24,Civilization,Cities,29
0,Taj Mahal,/wiki/Taj_Mahal,53,Civilization,Buildings and structures,1
1,Burj Khalifa,/wiki/Burj_Khalifa,44,Civilization,Buildings and structures,2
2,Statue of Liberty,/wiki/Statue_of_Liberty,40,Civilization,Buildings and structures,3
3,Great Wall of China,/wiki/Great_Wall_of_China,39,Civilization,Buildings and structures,4
4,Eiffel Tower,/wiki/Eiffel_Tower,37,Civilization,Buildings and structures,5
5,Berlin Wall,/wiki/Berlin_Wall,33,Civilization,Buildings and structures,6
6,Machu Picchu,/wiki/Machu_Picchu,30,Civilization,Buildings and structures,7
7,Stonehenge,/wiki/Stonehenge,29,Civilization,Buildings and structures,8
8,Mount Rushmore National Memorial,/wiki/Mount_Rushmore_National_Memorial,28,Civilization,Buildings and structures,9
9,Colosseum,/wiki/Colosseum,28,Civilization,Buildings and structures,9
10,Auschwitz concentration camp,/wiki/Auschwitz_concentration_camp,28,Civilization,Buildings and structures,9
11,Great Pyramid of Giza,/wiki/Great_Pyramid_of_Giza,26,Civilization,Buildings and structures,12
12,One World Trade Center,/wiki/One_World_Trade_Center,24,Civilization,Buildings and structures,13
13,Empire State Building,/wiki/Empire_State_Building,23,Civilization,Buildings and structures,14
14,White House,/wiki/White_House,22,Civilization,Buildings and structures,15
15,Petra [b],/wiki/Petra,22,Civilization,Buildings and structures,15
16,Large Hadron Collider,/wiki/Large_Hadron_Collider,21,Civilization,Buildings and structures,17
17,Hagia Sophia,/wiki/Hagia_Sophia,21,Civilization,Buildings and structures,17
18,Golden Gate Bridge,/wiki/Golden_Gate_Bridge,18,Civilization,Buildings and structures,19
19,Panama Canal,/wiki/Panama_Canal,18,Civilization,Buildings and structures,19
20,Angkor Wat,/wiki/Angkor_Wat,17,Civilization,Buildings and structures,21
21,Big Ben,/wiki/Big_Ben,17,Civilization,Buildings and structures,21
22,Guantanamo Bay detention camp,/wiki/Guantanamo_Bay_detention_camp,17,Civilization,Buildings and structures,21
23,Buckingham Palace,/wiki/Buckingham_Palace,17,Civilization,Buildings and structures,21
24,Christ the Redeemer (statue),/wiki/Christ_the_Redeemer_(statue),16,Civilization,Buildings and structures,25
25,Kaaba,/wiki/Pre-Islamic_Arabia#Religion,16,Civilization,Buildings and structures,25
26,New York Stock Exchange,/wiki/New_York_Stock_Exchange,15,Civilization,Buildings and structures,27
27,Parthenon,/wiki/Parthenon,15,Civilization,Buildings and structures,27
28,"Pantheon, Rome","/wiki/Pantheon,_Rome",14,Civilization,Buildings and structures,29
29,Disneyland,/wiki/Disneyland,14,Civilization,Buildings and structures,29
30,Colossus of Rhodes,/wiki/Colossus_of_Rhodes,14,Civilization,Buildings and structures,29
31,ADX Florence,/wiki/ADX_Florence,14,Civilization,Buildings and structures,29
32,Notre-Dame de Paris,/wiki/Notre-Dame_de_Paris,13,Civilization,Buildings and structures,33
33,Wembley Stadium,/wiki/Wembley_Stadium,13,Civilization,Buildings and structures,33
34,World Trade Center (1973–2001),/wiki/World_Trade_Center_(1973%E2%80%932001),13,Civilization,Buildings and structures,33
35,Westminster Abbey,/wiki/Westminster_Abbey,13,Civilization,Buildings and structures,33
36,Windsor Castle,/wiki/Windsor_Castle,13,Civilization,Buildings and structures,33
37,Georgia Guidestones,/wiki/Georgia_Guidestones,13,Civilization,Buildings and structures,33
38,Statue of Unity,/wiki/Statue_of_Unity,12,Civilization,Buildings and structures,39
39,Suez Canal,/wiki/Suez_Canal,12,Civilization,Buildings and structures,39
40,Walt Disney World,/wiki/Walt_Disney_World,12,Civilization,Buildings and structures,39
41,Channel Tunnel,/wiki/Channel_Tunnel,12,Civilization,Buildings and structures,39
42,Forbidden City,/wiki/Forbidden_City,12,Civilization,Buildings and structures,39
43,Willis Tower,/wiki/Willis_Tower,12,Civilization,Buildings and structures,39
44,Timbuktu [b],/wiki/Timbuktu,11,Civilization,Buildings and structures,45
45,Taipei 101,/wiki/Taipei_101,11,Civilization,Buildings and structures,45
46,Arc de Triomphe,/wiki/Arc_de_Triomphe,11,Civilization,Buildings and structures,45
47,Lighthouse of Alexandria,/wiki/Lighthouse_of_Alexandria,11,Civilization,Buildings and structures,45
48,Mohenjo-daro [b],/wiki/Mohenjo-daro,10,Civilization,Buildings and structures,49
49,John F. Kennedy International Airport,/wiki/John_F._Kennedy_International_Airport,10,Civilization,Buildings and structures,49
50,Temple of Artemis,/wiki/Temple_of_Artemis,10,Civilization,Buildings and structures,49
51,Library of Alexandria,/wiki/Library_of_Alexandria,10,Civilization,Buildings and structures,49
52,Brooklyn Bridge,/wiki/Brooklyn_Bridge,10,Civilization,Buildings and structures,49
53,Code of Hammurabi,/wiki/Code_of_Hammurabi,10,Civilization,Buildings and structures,49
54,Leaning Tower of Pisa,/wiki/Leaning_Tower_of_Pisa,9.6,Civilization,Buildings and structures,55
55,Statue of Zeus at Olympia,/wiki/Statue_of_Zeus_at_Olympia,9.2,Civilization,Buildings and structures,56
56,Acropolis of Athens,/wiki/Acropolis_of_Athens,9.2,Civilization,Buildings and structures,56
57,New York City Subway,/wiki/New_York_City_Subway,9.0,Civilization,Buildings and structures,58
