,rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
32,30,Tomato,18,/wiki/Tomato,Life,,,,,,,
33,30,Cheetah,18,/wiki/Cheetah,Life,,,,,,,
34,30,Giraffe,18,/wiki/Giraffe,Life,,,,,,,
35,30,Bear,18,/wiki/Bear,Life,,,,,,,
36,30,Raccoon,18,/wiki/Raccoon,Life,,,,,,,
37,30,Octopus,18,/wiki/Octopus,Life,,,,,,,
0,1,World War II,145,/wiki/World_War_II,Civilization,Wars,,,,,,
1,2,World War I,121,/wiki/World_War_I,Civilization,Wars,,,,,,
2,3,Vietnam War,82,/wiki/Vietnam_War,Civilization,Wars,,,,,,
3,4,American Civil War,71,/wiki/American_Civil_War,Civilization,Wars,,,,,,
4,[a],Atomic bombings of Hiroshima and Nagasaki,54,/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,Civilization,Wars,,,,,,
5,[b],2022 Russian invasion of Ukraine,50,/wiki/2022_Russian_invasion_of_Ukraine,Civilization,Wars,,,,,,
6,[c],Cold War,49,/wiki/Cold_War,Civilization,Wars,,,,,,
7,[a],Attack on Pearl Harbor,46,/wiki/Attack_on_Pearl_Harbor,Civilization,Wars,,,,,,
8,5,Korean War,45,/wiki/Korean_War,Civilization,Wars,,,,,,
9,6,Russo-Ukrainian War,34,/wiki/Russo-Ukrainian_War,Civilization,Wars,,,,,,
10,7,American Revolutionary War,33,/wiki/American_Revolutionary_War,Civilization,Wars,,,,,,
11,8,Syrian civil war,31,/wiki/Syrian_civil_war,Civilization,Wars,,,,,,
12,[a],Normandy landings,30,/wiki/Normandy_landings,Civilization,Wars,,,,,,
13,9,Gulf War,30,/wiki/Gulf_War,Civilization,Wars,,,,,,
14,10,Iraq War,29,/wiki/Iraq_War,Civilization,Wars,,,,,,
15,11,Crusades,24,/wiki/Crusades,Civilization,Wars,,,,,,
16,12,Falklands War,23,/wiki/Falklands_War,Civilization,Wars,,,,,,
17,[a],Battle of Stalingrad,23,/wiki/Battle_of_Stalingrad,Civilization,Wars,,,,,,
18,13,War in Afghanistan (2001–2021),22,/wiki/War_in_Afghanistan_(2001%E2%80%932021),Civilization,Wars,,,,,,
19,[a],Battle of the Bulge,19,/wiki/Battle_of_the_Bulge,Civilization,Wars,,,,,,
20,[a],Battle of Midway,19,/wiki/Battle_of_Midway,Civilization,Wars,,,,,,
21,[d],Battle of Waterloo,19,/wiki/Battle_of_Waterloo,Civilization,Wars,,,,,,
22,[e],World War III,18,/wiki/World_War_III,Civilization,Wars,,,,,,
23,14,Six-Day War,18,/wiki/Six-Day_War,Civilization,Wars,,,,,,
24,[c],Israeli–Palestinian conflict,18,/wiki/Israeli%E2%80%93Palestinian_conflict,Civilization,Wars,,,,,,
25,14,Crimean War,18,/wiki/Crimean_War,Civilization,Wars,,,,,,
