rank,title,views_mn,href,group,subgroup,continent,data_completed,sport,country,time,artist
2,Ottoman Empire‎ ,49,/wiki/Ottoman_Empire,Civilization,Empires and hegemonies,,,,,,
3,Roman Empire‎,43,/wiki/Roman_Empire,Civilization,Empires and hegemonies,,,,,,
4,Nazi Germany,41,/wiki/Nazi_Germany,Civilization,Empires and hegemonies,,,,,,
5,British Empire,32,/wiki/British_Empire,Civilization,Empires and hegemonies,,,,,,
6,Byzantine Empire,28,/wiki/Byzantine_Empire,Civilization,Empires and hegemonies,,,,,,
7,Ancient Egypt,25,/wiki/Ancient_Egypt,Civilization,Empires and hegemonies,,,,,,
8,Mughal Empire,24,/wiki/Mughal_Empire,Civilization,Empires and hegemonies,,,,,,
8,Sparta,23,/wiki/Sparta,Civilization,Empires and hegemonies,,,,,,
10,Russian Empire,18,/wiki/Russian_Empire,Civilization,Empires and hegemonies,,,,,,
10,German Empire,17,/wiki/German_Empire,Civilization,Empires and hegemonies,,,,,,
12,Qing dynasty,16,/wiki/Qing_dynasty,Civilization,Empires and hegemonies,,,,,,
13,Holy Roman Empire‎[a],15,/wiki/Holy_Roman_Empire,Civilization,Empires and hegemonies,,,,,,
13,Austria-Hungary,15,/wiki/Austria-Hungary,Civilization,Empires and hegemonies,,,,,,
15,Inca Empire,13,/wiki/Inca_Empire,Civilization,Empires and hegemonies,,,,,,
15,Empire of Japan,13,/wiki/Empire_of_Japan,Civilization,Empires and hegemonies,,,,,,
17,Ming dynasty,11,/wiki/Ming_dynasty,Civilization,Empires and hegemonies,,,,,,
18,Mongol Empire,11,/wiki/Mongol_Empire,Civilization,Empires and hegemonies,,,,,,
19,Han dynasty,9.4,/wiki/Han_dynasty,Civilization,Empires and hegemonies,,,,,,
20,Maurya Empire‎,9.2,/wiki/Maurya_Empire,Civilization,Empires and hegemonies,,,,,,
21,Spanish Empire,9.0,/wiki/Spanish_Empire,Civilization,Empires and hegemonies,,,,,,
22,Tang dynasty,8.8,/wiki/Tang_dynasty,Civilization,Empires and hegemonies,,,,,,
23,Sumer,8.6,/wiki/Sumer,Civilization,Empires and hegemonies,,,,,,
23,History of Japan,8.6,/wiki/History_of_Japan,Civilization,Empires and hegemonies,,,,,,
25,Achaemenid Empire,8.4,/wiki/Achaemenid_Empire,Civilization,Empires and hegemonies,,,,,,
26,Gupta Empire,7.4,/wiki/Gupta_Empire,Civilization,Empires and hegemonies,,,,,,
26,Delhi Sultanate,7.4,/wiki/Delhi_Sultanate,Civilization,Empires and hegemonies,,,,,,
28,Umayyad Caliphate[a],6.7,/wiki/Umayyad_Caliphate,Civilization,Empires and hegemonies,,,,,,
29,Assyria‎ ,6.4,/wiki/Assyria,Civilization,Empires and hegemonies,,,,,,
30,Abbasid Caliphate,6.1,/wiki/Abbasid_Caliphate,Civilization,Empires and hegemonies,,,,,,
1,United States,254,/wiki/United_States,Civilization,Present countries,,,,,,
2,India,165,/wiki/India,Civilization,Present countries,,,,,,
3,United Kingdom,144,/wiki/United_Kingdom,Civilization,Present countries,,,,,,
4,Canada,113,/wiki/Canada,Civilization,Present countries,,,,,,
5,Australia,107,/wiki/Australia,Civilization,Present countries,,,,,,
6,China,100,/wiki/China,Civilization,Present countries,,,,,,
7,Russia,98,/wiki/Russia,Civilization,Present countries,,,,,,
8,Japan,96,/wiki/Japan,Civilization,Present countries,,,,,,
9,Germany,94,/wiki/Germany,Civilization,Present countries,,,,,,
10,France,85,/wiki/France,Civilization,Present countries,,,,,,
11,Singapore,80,/wiki/Singapore,Civilization,Present countries,,,,,,
12,Israel,78,/wiki/Israel,Civilization,Present countries,,,,,,
13,Pakistan,68,/wiki/Pakistan,Civilization,Present countries,,,,,,
13,Philippines,68,/wiki/Philippines,Civilization,Present countries,,,,,,
15,Brazil,67,/wiki/Brazil,Civilization,Present countries,,,,,,
16,Italy,66,/wiki/Italy,Civilization,Present countries,,,,,,
16,Netherlands[a],66,/wiki/Netherlands,Civilization,Present countries,,,,,,
16,New Zealand[a],66,/wiki/New_Zealand,Civilization,Present countries,,,,,,
19,Ukraine,64,/wiki/Ukraine,Civilization,Present countries,,,,,,
19,Spain,64,/wiki/Spain,Civilization,Present countries,,,,,,
19,Turkey,64,/wiki/Turkey,Civilization,Present countries,,,,,,
22,South Africa,62,/wiki/South_Africa,Civilization,Present countries,,,,,,
23,Mexico,61,/wiki/Mexico,Civilization,Present countries,,,,,,
